Domain,Have_IP,Have_@,URL_Length,URL_Depth,Redirection,https_Domain,Prefix/Suffix,Domain_Age,Domain_End,Web_Traffic,iFrame,Status_Bar,Right_Click,Web_Forwards,Label
usps.trckpkg.top,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
link.remindery.cc,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
cloudflare-ipfs.com,0,0,1,3,0,0,1,0,0,1,1,1,1,1,1
bafkreiezeywvkuzmgn4iyhms72rfv6gsbcn57wrxuj6btv5ucd3o7stoui.ipfs.cf-ipfs.com,0,0,1,0,0,0,1,0,0,1,1,1,1,1,1
bafybeic6xofhgzln7ecrselsi6ugpzqnyepatheuxiil362sgca4o5f6ei.ipfs.cf-ipfs.com,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1
sbb-ffs-chh.blogspot.ch,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1
cf-ipfs.com,0,0,1,2,0,0,1,0,0,1,1,1,1,1,1
newwebiste-orange0.wixsite.com,0,0,1,1,0,0,1,1,1,1,1,1,1,1,1
t.ly,0,0,0,1,0,0,0,0,0,1,1,1,1,1,1
bafybeie3nd6i2zlwgn4xxq4podslinxeorxjzxcheyo3rnxdfcob2e65o4.ipfs.cf-ipfs.com,0,0,1,1,0,0,1,0,0,1,1,1,1,1,1
ipfs.eth.aragon.network,0,0,1,2,0,0,0,1,1,1,0,0,1,0,1
docs.google.com,0,0,1,5,0,0,0,0,1,1,0,0,1,0,1
srv203026.hoster-test.ru,0,0,0,2,0,0,1,0,0,1,1,1,1,1,1
karnatakabazar.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1
bt689.com,0,0,0,2,0,0,0,0,1,1,1,1,1,1,1
byronzepeda.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1
sp387105.sitebeat.crazydomains.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1
ggg55.simplestate.repl.co,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
go.uniwue.de,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1
eljoti.com,0,0,0,1,0,0,0,0,1,1,1,1,1,1,1
telefonicabrasil.actualizar-app.com,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1
willingcartworthsupplies.com,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1
ugaflix.com,0,0,0,4,0,0,1,0,0,0,1,0,1,0,1
beetleart.com.tr,0,0,0,2,0,0,1,0,0,1,1,0,1,0,1
flavena.co.rs,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
bly-socks.com.ua,0,0,1,6,0,0,0,0,0,1,1,0,1,0,1
chad-moore.com,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1
inversionesgini.com,0,0,1,3,0,0,0,0,0,0,1,0,1,0,1
samducksports.com,0,0,1,4,0,0,0,0,0,0,0,0,1,0,1
edhs85.com,0,0,0,2,0,0,0,0,0,0,1,0,1,0,1
utffunds.com,0,0,0,3,0,0,0,0,0,1,1,0,1,0,1
group.agriparts.kz,0,1,1,2,0,0,0,0,0,1,1,0,1,0,1
momos-ambachtelijkeijs.nl,0,0,1,4,0,0,0,0,0,0,1,0,1,0,1
steamcoummunity.gq,0,0,0,3,0,0,0,0,0,0,1,0,1,0,1
suspended-profiles.blogspot.com,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1
testing-adjusting-balancing.com,0,0,1,2,0,0,0,0,0,0,1,0,1,0,1
mncelektronik.com,0,0,1,7,0,0,0,0,0,0,0,0,1,0,1
